"","kinds","efficiency","frequency","time","totaltime"
"495","diancilu",600,90,0.375,33.75
"496","diancilu",1500,90,0.625,56.25
"497","diancilu",600,90,0.625,56.25
"498","diancilu",1500,90,0.875,78.75
"499","dianfanguo",850,60,0.375,22.5
"500","diancilu",1250,90,0.375,33.75
"501","diancilu",1250,60,0.625,37.5
"502","diancilu",400,90,0.375,33.75
"503","diancilu",600,90,0.625,56.25
"504","diancilu",1500,90,0.875,78.75
"505","diancilu",1250,90,0.625,56.25
"506","diancilu",1500,60,0.375,22.5
"507","diancilu",1500,90,0.25,22.5
"508","diancilu",400,90,0.625,56.25
"509","dianfanguo",850,60,0.375,22.5
"510","diancilu",1250,90,0.375,33.75
"511","dianfanguo",1250,90,0.625,56.25
"512","diancilu",1250,90,0.375,33.75
"513","diancilu",400,90,0.375,33.75
"514","diancilu",1500,90,0.625,56.25
"515","diancilu",600,90,0.375,33.75
"516","diancilu",600,90,0.375,33.75
"517","diancilu",1500,90,0.625,56.25
"518","diancilu",NA,60,0.625,37.5
"519","diancilu",1500,90,0.375,33.75
"520","diancilu",1500,90,0.875,78.75
"521","diancilu",1250,90,0.375,33.75
"522","dianfanguo",850,30,0.625,18.75
"523","diancilu",1500,90,0.375,33.75
"524","dianshuihu",600,90,0.25,22.5
"525","dianshuihu",NA,30,0.375,11.25
"526","dianfanguo",850,90,0.375,33.75
"527","dianshuihu",1250,20,0.25,5
"528","diancilu",400,60,0.625,37.5
"529","dianfanguo",1250,30,0.875,26.25
"530","dianfanguo",600,90,0.375,33.75
"531","dianfanguo",600,60,0.375,22.5
"532","dianfanguo",850,60,1.5,90
"533","dianfanguo",400,60,0.625,37.5
"534","dianfanguo",600,60,0.875,52.5
"535","dianfanguo",850,30,0.625,18.75
"536","dianfanguo",600,90,0.375,33.75
"537","dianfanguo",850,60,0.375,22.5
"538","diancilu",NA,12,0.625,7.5
"539","dianfanguo",1500,90,0.875,78.75
"540","diancilu",1250,60,0.375,22.5
"541","dianfanguo",600,90,0.625,56.25
"542","diancilu",1500,90,0.375,33.75
"543","dianfanguo",300,60,0.625,37.5
"544","dianfanguo",850,90,0.375,33.75
"545","dianfanguo",NA,12,0.625,7.5
"546","dianfanguo",600,60,1.5,90
"547","dianfanguo",850,60,0.25,15
"548","dianfanguo",850,60,0.625,37.5
"549","dianfanguo",1250,90,0.375,33.75
"550","diancilu",1500,30,0.625,18.75
"551","dianfanguo",600,90,0.625,56.25
"552","diancilu",300,60,0.625,37.5
"553","dianfanguo",1500,30,0.375,11.25
"554","diancilu",1500,4,0.25,1
"555","dianfanguo",850,60,0.375,22.5
"556","diancilu",1250,90,0.375,33.75
"557","diancilu",NA,90,0.375,33.75
"558","weibolu",850,60,0.625,37.5
"559","dianfanguo",300,90,0.625,56.25
"560","diancilu",1500,60,0.375,22.5
"561","diancilu",1500,90,0.875,78.75
"562","diancilu",1500,60,0.875,52.5
"563","diancilu",1500,90,0.375,33.75
