"","kinds","efficiency","frequency","time"
"8324","diancilu","1250","60","0.625"
"8329","diancilu","300","60","0.625"
"8414","dianfanguo","300","90","0.375"
"8427","dianfanguo","1250","90","0.375"
"8434","dianfanguo",NA,"90","0.375"
"8441","dianshuihu","1500","90","0.25"
"8450","dianfanguo","300","90","0.375"
"8491","dianfanguo","1250","90","0.875"
"8516","gaoyaguo","400","90","0.375"
"8518","dianfanguo",NA,"30","0.375"
"8520","dianfanguo","850","90","0.375"
"8526","dianfanguo",NA,"90","0.25"
"8563","diancilu","1500","90","0.625"
"8607","dianfanguo",NA,"90","0.375"
"8649","dianfanguo","400","90","0.375"
"8652","gaoyaguo","1250","60","0.625"
"8680","dianfanguo","600","60","0.625"
"8703","diancilu","1500","90","0.625"
"8708","diancilu","1250","90","0.625"
"8725","dianfanguo","400","90","0.625"
"8746","dianfanguo","300","20","0.375"
"8754","dianfanguo","850","60","0.25"
"8763","dianfanguo","1250","60","0.375"
"8776","diancilu","1500","90","1.5"
"8795","diancilu","1500","30","0.375"
"8799","diancilu",NA,"30","0.375"
"8801","dianfanguo","600","60","0.625"
"8811","gaoyaguo","400","60","0.375"
"8819","diancilu","400","90","0.625"
"8829","dianfanguo","850","90","1.5"
"8840","dianfanguo","850","60","0.625"
"8841","dianfanguo",NA,"90","0.625"
"8847","dianfanguo","400","60","0.375"
"8851","diancilu","1250","90","0.875"
"8864","dianfanguo","300","60","0.375"
"8883","diancilu","400","60","0.625"
"8889","dianfanguo","1250","90","0.375"
"8904","diancilu","1500","90","0.375"
"8917","diancilu","1500","90","0.625"
"8931","dianfanguo","850","60","0.625"
"8980","diancilu","1500","60","0.625"
"8985","dianfanguo","850","60","0.375"
"8986","diancilu","850","60","0.375"
"9003","diancilu","1250","12","1.5"
"9011","dianfanguo",NA,"90","0.625"
"9012","diancilu","850","60","0.875"
"9013","dianfanguo","600","90","0.625"
"9018","diancilu","400","90","0.625"
"9057","dianfanguo","600","60","0.375"
"9060","dianfanguo",NA,NA,"0.625"
"9064","dianfanguo","850","30","0.875"
"9088","dianfanguo","850","90","0.875"
"9100","diancilu","850","30","0.875"
"9106","dianfanguo",NA,"90","0.625"
"9117","diancilu","1500","90","0.625"
"9128","dianfanguo","600","90","0.625"
"9130","dianfanguo","400","60","0.375"
"9153","dianfanguo",NA,NA,"0.375"
"9177","dianfanguo","850","90","0.375"
"9193","dianfanguo","400","60","0.875"
"9209","diancilu",NA,"90","0.625"
"9213","dianfanguo","850","90","0.375"
"9223","diancilu","600","60","0.875"
